,title,type,eps_count,rate,content_descriptors,seasons_count,series_launch_year,Votes
226,days with my stepsister,series,13,4.5,حوار ملمح,1,2024,26501
227,dead dead demons dededede destruction,series,18,4.5,"الفجور, التدخين, الانتحار, العنف",1,2024,8096
228,dead mount death play,series,24,4.7,"الدم/القتل, الفجور, التدخين, الصور الجنسية, الانتحار, العنف",1,2023,42545
229,deaimon: recipe for happiness,series,12,4.7,"التدخين, العنف",1,2022,5181
230,death march to the parallel world rhapsody,series,12,4.5,"المحتوى الجنسي, الصور الجنسية, العنف",1,2018,39306
231,deca-dence,series,12,4.6,"تعاطي المخدرات/الكحول, الفجور, التدخين, العنف",1,2022,5944
232,deep insanity the lost child,series,12,3.9,العنف,1,2022,1960
233,delico's nursery,series,14,4.4,"التدخين, الانتحار, رعب خارق للطبيعة, العنف",1,2024,6731
234,delusional monthly magazine,series,12,3.1,"الفجور, العنف",1,2024,1330
235,demian,series,1,2.2,"الفجور, العنف",1,2011,186
236,demon king daimao,series,12,4.3,"العري, المحتوى الجنسي, حوار ملمح, العنف",1,2010,12922
237,demon lord 2099,series,12,4.7,"الفجور, الصور الجنسية, حوار ملمح, العنف",1,2024,22330
238,"demon lord, retry!",series,12,4.4,"الفجور, العنف الجنسي, التدخين, الصور الجنسية, العنف",1,2022,24425
239,demon slayer: kimetsu no yaiba,series,37,4.9,"الانتحار, العنف",4,2019,613926
240,denki-gai,series,14,4.4,"المحتوى الجنسي, الصور الجنسية, حوار ملمح",1,2014,1256
241,desert punk,series,24,4.5,"العري, الفجور, التدخين, المحتوى الجنسي, العنف",1,2022,2245
242,detective conan - المحقق كونان,series,123,4.7,"تعاطي المخدرات/الكحول, الفجور, التدخين, العنف",1,2021,8817
243,diary of our days at the breakwater,series,12,4.7,unknown,1,2022,1583
244,didn't i say to make my abilities average in the next life,series,12,4.4,"حوار ملمح, العنف",1,2019,15630
245,dies irae,series,18,3.7,"الدم/القتل, الفجور, التدخين, الصور الجنسية, العنف",1,2017,1506
246,digimon adventure,series,54,4.8,العنف,1,2021,3131
247,digimon adventure 02,series,50,4.6,العنف,1,2021,1410
248,digimon adventure tri.,series,27,4.5,"الفجور, الصور الجنسية, العنف",1,2015,2161
249,digimon adventure: (2020),series,67,4.0,العنف,1,2020,6821
250,digimon data squad,series,48,4.3,العنف,1,2024,185
251,digimon frontier,series,50,4.8,العنف,1,2025,928
252,digimon ghost game,series,68,4.4,"الفجور, رعب خارق للطبيعة, العنف",1,2021,3027
253,digimon tamers,series,51,4.8,العنف,1,2025,1280
254,dimension w,series,12,4.6,"العنف الجنسي, العنف",1,2022,2502
255,disgaea,series,12,3.9,"الفجور, الصور الجنسية, العنف",1,2018,499
256,do it yourself!!,series,12,4.8,الفجور,1,2022,8050
257,doctor elise: the royal lady with the lamp,series,12,4.7,العنف,1,2024,29073
258,dog & scissors,series,12,4.2,"الصور الجنسية, حوار ملمح",1,2013,2050
